"Metabolite","Correlation","p_value","p_adjusted"
"3-hydroxy-2-ethylpropionate [P, nt-ms]",0.140151605087487,0.00400319242222811,1
"3-hydroxybutyrylcarnitine (1) [P, nt-ms]",-0.15005570247394,0.00204554687253789,1
"3-hydroxyhippurate [P, nt-ms]",-0.0370908055333548,0.448372679112517,1
"3-hydroxyisobutyrate [P, nt-ms]",-0.0761357004966184,0.119249998092169,1
"3-hydroxyoctanoate [P, nt-ms]",-0.0691808844799534,0.156993186104606,1
"3-hydroxypyridine sulfate [P, nt-ms]",0.0393312263156914,0.421420567162315,1
"3-methoxytyrosine [P, nt-ms]",0.0512050149928994,0.295122644534564,1
"3-methyl-2-oxobutyrate [P, nt-ms]",-0.0799893207885509,0.101623846657586,1
"3-methyl-2-oxovalerate [P, nt-ms]",0.0930183229721187,0.056811472550519,1
"3-methylcytidine [P, nt-ms]",0.144386283232049,0.00301921432978842,1
"3-methylglutarylcarnitine (2) [P, nt-ms]",0.0307881450225743,0.529193295854968,1
"3-phosphoglycerate [P, nt-ms]",0.0514706341102924,0.292621529108385,1
"3-ureidopropionate [P, nt-ms]",0.136285949935457,0.00514564392866703,1
"3beta,7alpha-dihydroxy-5-cholestenoate [P, nt-ms]",-0.0709420936693239,0.146675053537145,1
"4-acetamidobutanoate [P, nt-ms]",-0.0281792992602928,0.564684776786275,1
"4-allylphenol sulfate [P, nt-ms]",-0.0347574750138737,0.477451133689542,1
"4-androsten-3alpha,17alpha-diol monosulfate (2) [P, nt-ms]",0.108222346361213,0.0265680926260436,1
"4-androsten-3alpha,17alpha-diol monosulfate (3) [P, nt-ms]",0.0849446974463076,0.0820692550508185,1
"4-androsten-3beta,17beta-diol disulfate (1) [P, nt-ms]",0.0818580350611528,0.093855089390905,1
"4-androsten-3beta,17beta-diol disulfate (2) [P, nt-ms]",-0.0235240677341744,0.630708642401661,1
"4-androsten-3beta,17beta-diol monosulfate (1) [P, nt-ms]",-0.130456801145257,0.0074273466970898,1
"4-androsten-3beta,17beta-diol monosulfate (2) [P, nt-ms]",0.0563355800206647,0.249316940126225,1
"4-ethylphenylsulfate [P, nt-ms]",-0.0564044577244016,0.248737712770353,1
"4-guanidinobutanoate [P, nt-ms]",0.0160294498319054,0.743253463909574,1
"4-hydroxychlorothalonil [P, nt-ms]",0.0238320200668162,0.626240861288436,1
"4-hydroxyphenylacetatoylcarnitine [P, nt-ms]",-0.0589272322139616,0.228165784608255,1
"4-methyl-2-oxopentanoate [P, nt-ms]",-0.00631222398335085,0.897375177808265,1
"4-methylcatechol sulfate [P, nt-ms]",0.114408538750947,0.0190069061681121,1
"4-vinylphenol sulfate [P, nt-ms]",-0.141146707084479,0.00374892485052954,1
"5-acetylamino-6-amino-3-methyluracil [P, nt-ms]",-0.0644725042957372,0.18726017396264,1
"5-hydroxylysine [P, nt-ms]",0.110658930414685,0.0233265198090147,1
"5-oxoproline [P, nt-ms]",-0.115562675518545,0.0178259121928024,1
"5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate [P, nt-ms]",0.134578183332153,0.00573800376534204,1
"5alpha-androstan-3alpha,17alpha-diol disulfate [P, nt-ms]",0.0434101989404048,0.374857479968725,1
"5alpha-androstan-3alpha,17alpha-diol monosulfate [P, nt-ms]",0.127068179845727,0.00913561741370871,1
"5alpha-androstan-3alpha,17beta-diol monosulfate (1) [P, nt-ms]",-0.00109485859470322,0.982151965546038,1
"5alpha-androstan-3beta,17alpha-diol disulfate [P, nt-ms]",-0.000717931046626877,0.988295963380063,1
"5alpha-androstan-3beta,17beta-diol disulfate [P, nt-ms]",-0.0145736486916456,0.765858397308126,1
"5alpha-androstan-3beta,17beta-diol monosulfate (2) [P, nt-ms]",-0.014554439333702,0.766158050260335,1
"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate [P, nt-ms]",-0.029063048937728,0.552535090121581,1
"5alpha-pregnan-3beta,20alpha-diol disulfate [P, nt-ms]",-0.0701819708517832,0.151063028902325,1
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2) [P, nt-ms]",-0.145512618334626,0.00279746695140536,1
"5alpha-pregnan-3beta,20beta-diol monosulfate (1) [P, nt-ms]",-0.0145734492108107,0.765861508894552,1
"6-oxopiperidine-2-carboxylic acid [P, nt-ms]",0.114721028480628,0.0186805994573367,1
"7-methylguanine [P, nt-ms]",-0.107876732498113,0.0270579219412566,1
"9,10-DiHOME [P, nt-ms]",-0.0174934641739844,0.720741304479689,1
"acisoga [P, nt-ms]",-0.045889976327994,0.348164180464903,1
"adenine [P, nt-ms]",0.0884705050928748,0.0701013435582707,1
"adenosine 3',5'-cyclic monophosphate (cAMP) [P, nt-ms]",-0.143975727833771,0.00310393600925824,1
"adenosine 5'-monophosphate (AMP) [P, nt-ms]",-0.112432707086837,0.0211873329457471,1
"adipoylcarnitine [P, nt-ms]",-0.0430397952666582,0.37895015213258,1
"allantoin [P, nt-ms]",-0.053386164556826,0.275005128410201,1
"alliin [P, nt-ms]",-0.0896403071798302,0.0664611209743575,1
"alpha-hydroxyisocaproate [P, nt-ms]",-0.0712768915630915,0.14477345934708,1
"alpha-hydroxyisovalerate [P, nt-ms]",0.149548995570159,0.00211913458212726,1
"alpha-ketobutyrate [P, nt-ms]",0.0197568409734159,0.686413140606954,1
"alpha-ketoglutarate [P, nt-ms]",0.0481971839723428,0.324438759275344,1
"alpha-tocopherol [P, nt-ms]",-0.0964525000470672,0.0482222339881242,1
"androsterone sulfate [P, nt-ms]",0.0771221837951731,0.114525355333881,1
"arabitol/xylitol [P, nt-ms]",-0.110642562211069,0.0233470995493815,1
"arginine [P, nt-ms]",0.147413566970373,0.002456588920882,1
"benzoate [P, nt-ms]",-0.0550964564193782,0.259898045959682,1
"beta-alanine [P, nt-ms]",0.0486314914002884,0.320092849728569,1
"beta-hydroxyisovalerate [P, nt-ms]",0.0276181024729433,0.572465946551227,1
"betaine [P, nt-ms]",-0.0442552162745329,0.365623090316002,1
"betonicine [P, nt-ms]",-0.0977354974558412,0.0453054931020407,1
"bilirubin (E,E) [P, nt-ms]",-0.11892345726807,0.0147442050723291,1
"bilirubin (E,Z or Z,E) [P, nt-ms]",-0.059503766976527,0.223639028101248,1
"bilirubin (Z,Z) [P, nt-ms]",0.0158837985170624,0.74550552256464,1
"biliverdin [P, nt-ms]",-0.0188083591581106,0.700725060591174,1
"butyrylcarnitine [P, nt-ms]",-0.029668264876649,0.544289052839914,1
"C-glycosyltryptophan [P, nt-ms]",0.135294109198069,0.00548259357756315,1
"caffeine [P, nt-ms]",-0.0139027042774867,0.776345056844353,1
"caproate (6:0) [P, nt-ms]",-0.0275179780534648,0.573859518284195,1
"cholesterol [P, nt-ms]",0.00790432871419673,0.871691514382068,1
"cis-4-decenoyl carnitine [P, nt-ms]",-0.126798628769267,0.00928544873603173,1
"cis-aconitate [P, nt-ms]",-0.0451710854221298,0.355775729643405,1
"citrate [P, nt-ms]",0.034370487776868,0.482371321670075,1
"cortisone [P, nt-ms]",0.065215525982632,0.182217697559355,1
"creatine [P, nt-ms]",0.14563038532644,0.00277515890297441,1
"creatinine [P, nt-ms]",0.125283137472405,0.0101692184538999,1
"cys-gly, oxidized [P, nt-ms]",0.0791438437596259,0.105302388878655,1
"cysteine [P, nt-ms]",0.0446388722807221,0.361477591253426,1
"cysteine sulfinic acid [P, nt-ms]",-0.0785089179097136,0.108133459389004,1
"cysteine-glutathione disulfide [P, nt-ms]",-0.0507487891648075,0.299451757294937,1
"cysteinylglycine [P, nt-ms]",0.110222800868582,0.023880257280166,1
"cystine [P, nt-ms]",-0.029410522059042,0.5477933239096,1
"decanoylcarnitine [P, nt-ms]",-0.148031355394848,0.00235424533940121,1
"dehydroisoandrosterone sulfate (DHEA-S) [P, nt-ms]",0.06608801042979,0.176425559271744,1
"deoxycarnitine [P, nt-ms]",0.0402092070590019,0.411122376491483,1
"dihydroorotate [P, nt-ms]",-0.0436998593631884,0.371676002229469,1
"dimethyl sulfone [P, nt-ms]",0.106086730828117,0.0297209775310882,1
"dimethylarginine (SDMA + ADMA) [P, nt-ms]",0.0686970089088197,0.15992181673866,1
"dimethylglycine [P, nt-ms]",0.0531208195344587,0.277401401859138,1
"dodecanedioate [P, nt-ms]",-0.113549376566655,0.0199297783539691,1
"DSGEGDFXAEGGGVR [P, nt-ms]",-0.00847165580360933,0.862570499008722,1
"EDTA [P, nt-ms]",0.0153221495573316,0.754209880062512,1
"epiandrosterone sulfate [P, nt-ms]",0.10768625326323,0.0273311884397687,1
"ergothioneine [P, nt-ms]",0.0811462161122334,0.0967564094684378,1
"ethylmalonate [P, nt-ms]",0.0831323404991516,0.0888350834886877,1
"flavin adenine dinucleotide (FAD) [P, nt-ms]",0.108743990118191,0.0258432398355836,1
"fumarate [P, nt-ms]",0.0228561781583273,0.640444581857606,1
"gamma-glutamyl-2-aminobutyrate [P, nt-ms]",0.10361288447624,0.0337689066501587,1
"gamma-glutamylglutamine [P, nt-ms]",-0.0411662140214327,0.400068574255767,1
"gamma-tocopherol/beta-tocopherol [P, nt-ms]",0.107271531801738,0.0279343758957779,1
"glucuronate [P, nt-ms]",0.0122713534213076,0.802009065085953,1
"glutarate (pentanedioate) [P, nt-ms]",0.0278990335480919,0.568564409004272,1
"glutarylcarnitine (C5) [P, nt-ms]",0.105269561805225,0.0310095042473436,1
"glycerophosphoethanolamine [P, nt-ms]",0.0399904040094316,0.413674780589264,1
"glycerophosphorylcholine (GPC) [P, nt-ms]",-0.0206748712422455,0.67266654457541,1
"glycine [P, nt-ms]",0.0688969972800355,0.1587064461906,1
"glycochenodeoxycholate glucuronide (1) [P, nt-ms]",0.0461321954794449,0.345622992061007,1
"glycochenodeoxycholate sulfate [P, nt-ms]",0.0842249356454804,0.0847046424590756,1
"glycocholenate sulfate [P, nt-ms]",0.150554740493003,0.00197536338021444,1
"glycodeoxycholate sulfate [P, nt-ms]",-0.0236908279998505,0.62828759623125,1
"glycolithocholate sulfate [P, nt-ms]",0.147942375170736,0.00236874206563862,1
"hippurate [P, nt-ms]",-0.0483057231422445,0.323349087720277,1
"histidine [P, nt-ms]",0.0877660027781336,0.0723712077760957,1
"homoarginine [P, nt-ms]",0.081546550783005,0.0951160047738751,1
"homocitrulline [P, nt-ms]",0.139544749376813,0.00416581319574036,1
"homostachydrine [P, nt-ms]",-0.115412793549535,0.0179755701084699,1
"hydantoin-5-propionic acid [P, nt-ms]",0.105567069915049,0.0305349622527948,1
"hyocholate [P, nt-ms]",0.00107011987076663,0.982555183531734,1
"hypoxanthine [P, nt-ms]",-0.10408176924667,0.0329674656568568,1
"imidazole lactate [P, nt-ms]",0.0928064729908827,0.0573804449330005,1
"imidazole propionate [P, nt-ms]",-0.0177610393323617,0.716652078903994,1
"iminodiacetate (IDA) [P, nt-ms]",0.0659765238862276,0.177157967617329,1
"indoleacetate [P, nt-ms]",0.0567811856099791,0.245586210007746,1
"indoleacetylglutamine [P, nt-ms]",0.0700468447850471,0.151853400988851,1
"indolepropionate [P, nt-ms]",-0.093162885893286,0.0564259064836936,1
"inosine [P, nt-ms]",-0.0644228337425373,0.18760088543714,1
"isovalerate [P, nt-ms]",-0.0141045484322296,0.773185922286393,1
"isovalerylcarnitine [P, nt-ms]",0.0770817991278842,0.114715847372255,1
"kynurenate [P, nt-ms]",0.113523932146011,0.01995769372734,1
"lactate [P, nt-ms]",0.0709558534617176,0.146596527009534,1
"lanthionine [P, nt-ms]",-0.121112675611553,0.012998023238583,1
"laurylcarnitine [P, nt-ms]",-0.115596969562789,0.0177918227349023,1
"leucine [P, nt-ms]",0.0729372208030517,0.135620101055657,1
"linoleamide (18:2n6) [P, nt-ms]",0.0393597191603913,0.421084013705964,1
"linoleoylcarnitine [P, nt-ms]",-0.146217273201604,0.00266638248355633,1
"malate [P, nt-ms]",0.0174207788585387,0.721853501555942,1
"maleate [P, nt-ms]",0.149690061416492,0.00209840869701162,1
"malonate [P, nt-ms]",0.102924234301351,0.0349760435145951,1
"malonylcarnitine [P, nt-ms]",-0.0197835470862346,0.686011752478721,1
"maltose [P, nt-ms]",0.134713611277843,0.00568888446763995,1
"maltotriose [P, nt-ms]",-0.028816833758457,0.555907150632989,1
"mannitol/sorbitol [P, nt-ms]",-0.0489001445086622,0.317423641096711,1
"mannose [P, nt-ms]",-0.004504860984824,0.926660300966848,1
"methionine sulfone [P, nt-ms]",0.0771971576152224,0.114172366119349,1
"methyl glucopyranoside (alpha + beta) [P, nt-ms]",-0.106502350896229,0.0290834083167331,1
"methyl indole-3-acetate [P, nt-ms]",-0.0962572485967572,0.0486796048349073,1
"methylmalonate (MMA) [P, nt-ms]",0.0461160997563739,0.34579149051934,1
"methylsuccinoylcarnitine (1) [P, nt-ms]",-0.0323934425405429,0.507930666500446,1
"myo-inositol [P, nt-ms]",0.0739910474656826,0.13004566276531,1
"myristoylcarnitine [P, nt-ms]",-0.131371155514464,0.00701824724832695,1
"N-acetyl-1-methylhistidine [P, nt-ms]",-0.0797066640662554,0.102842126463228,1
"N-acetyl-aspartyl-glutamate (NAAG) [P, nt-ms]",0.0573177389977499,0.241146032148986,1
"N-acetyl-cadaverine [P, nt-ms]",-0.0206005159897053,0.673775968807203,1
"N-acetylalanine [P, nt-ms]",0.137300468397585,0.00482039402854035,1
"N-acetylarginine [P, nt-ms]",-0.0853199510905882,0.0807217817132824,1
"N-acetylaspartate (NAA) [P, nt-ms]",-0.0109466516551153,0.823008091556553,1
"N-acetylcitrulline [P, nt-ms]",-0.125766051247592,0.00987982640197602,1
"N-acetylglucosaminylasparagine [P, nt-ms]",0.0868987414846735,0.0752474369870065,1
"N-acetylglutamine [P, nt-ms]",-0.0894100560307762,0.067165092515496,1
"N-acetylhistidine [P, nt-ms]",-0.0950527027176928,0.0515821596266,1
"N-acetylkynurenine (2) [P, nt-ms]",0.100342165426596,0.0398342083989595,1
"N-acetylleucine [P, nt-ms]",0.06469016459403,0.185772517103907,1
"N-acetylmethionine [P, nt-ms]",-0.0961365110043683,0.0489642409775433,1
"N-acetylneuraminate [P, nt-ms]",-0.0491828665430269,0.314630398186745,1
"N-acetylphenylalanine [P, nt-ms]",0.1210600119249,0.013037789702914,1
"N-acetylputrescine [P, nt-ms]",-0.0996453661326486,0.0412390331348384,1
"N-acetylserine [P, nt-ms]",0.0600062454001722,0.219746245359481,1
"N-acetyltaurine [P, nt-ms]",0.0405159265253223,0.407560126984328,1
"N-acetyltryptophan [P, nt-ms]",0.145582675348032,0.00278417679846725,1
"N-acetylvaline [P, nt-ms]",0.142339633531409,0.00346343701843925,1
"N-formylmethionine [P, nt-ms]",0.00321763323464242,0.947580443803018,1
"N-methyl-4-aminobutyric acid [P, nt-ms]",-0.00272767042191537,0.955553623056515,1
"N-methylpipecolate [P, nt-ms]",-0.0431790734935614,0.377408032585664,1
"N-methylproline [P, nt-ms]",-0.0377395880668633,0.440469161339607,1
"N-palmitoyl glycine [P, nt-ms]",-0.00394743363981854,0.935714311794718,1
"N1-methyladenosine [P, nt-ms]",0.0616138476441563,0.207617984890248,1
"N2,N2-dimethylguanosine [P, nt-ms]",-0.0251747776844718,0.606921088709819,1
"N2,N5-diacetylornithine [P, nt-ms]",0.0665302570540928,0.173542377263268,1
"N4-acetylcytidine [P, nt-ms]",0.0478525136282669,0.327914827955226,1
"N6-succinyladenosine [P, nt-ms]",0.0606599913686173,0.214754430386294,1
"N6,N6,N6-trimethyllysine [P, nt-ms]",0.0517018989652065,0.290455481383842,1
"nicotinamide [P, nt-ms]",0.061666910312745,0.207226081174897,1
"O-acetylhomoserine [P, nt-ms]",-0.10972802604365,0.0245221746891122,1
"o-cresol sulfate [P, nt-ms]",0.0171402662346434,0.726151253288701,1
"O-sulfo-L-tyrosine [P, nt-ms]",0.03667354170467,0.453497929937115,1
"oleamide [P, nt-ms]",0.0772802955218712,0.11378193747846,1
"oleoylcarnitine [P, nt-ms]",-0.139809056756592,0.00409426575049484,1
"oxalate (ethanedioate) [P, nt-ms]",0.0926023506134368,0.0579331214174296,1
"p-cresol-glucuronide [P, nt-ms]",0.0587140022808961,0.229856357862829,1
"palmitic amide [P, nt-ms]",0.0722880550359049,0.139144435627514,1
"palmitoylcarnitine [P, nt-ms]",-0.0560777776210946,0.251493265663698,1
"palmitoylcholine [P, nt-ms]",0.140548147464191,0.00390005514607576,1
"pantothenate [P, nt-ms]",0.0843242887716817,0.0843368563880567,1
"paraxanthine [P, nt-ms]",-0.0686623211332585,0.160133333231437,1
"phenylacetylglutamate [P, nt-ms]",-0.0282740415065721,0.563376164955991,1
"phenylacetylglutamine [P, nt-ms]",0.0880320792523988,0.0715069775876955,1
"phytanate [P, nt-ms]",-0.0589117732587982,0.228288051936697,1
"pipecolate [P, nt-ms]",-0.013753193161337,0.778687490597647,1
"piperine [P, nt-ms]",-0.0283376777764959,0.562498018039848,1
"pregn steroid monosulfate [P, nt-ms]",0.0280620937237917,0.566305672626129,1
"pregnanediol-3-glucuronide [P, nt-ms]",0.110629686761098,0.023363298884558,1
"pregnen-diol disulfate [P, nt-ms]",-0.00648220217314054,0.894627508015728,1
"pregnenolone sulfate [P, nt-ms]",0.05878148860069,0.229320341509046,1
"pro-hydroxy-pro [P, nt-ms]",0.146016434237585,0.00270316197815829,1
"prolylglycine [P, nt-ms]",0.0779231023263565,0.110798478330686,1
"pyridoxate [P, nt-ms]",0.127850302843076,0.0087129700233064,1
"pyroglutamine [P, nt-ms]",-0.0755785743572498,0.12198475570787,1
"quinate [P, nt-ms]",-0.113701407263654,0.019763690375501,1
"quinolinate [P, nt-ms]",0.123022792439045,0.0116260909143153,1
"retinol (Vitamin A) [P, nt-ms]",0.102008656722737,0.0366376517238472,1
"ribitol [P, nt-ms]",-0.06743668840852,0.167742873560742,1
"S-adenosylhomocysteine (SAH) [P, nt-ms]",0.108197527841711,0.0266030111166616,1
"S-allylcysteine [P, nt-ms]",-0.13349581136742,0.00614447397805143,1
"S-methylcysteine [P, nt-ms]",0.00982309091607395,0.840918824890845,1
"sebacate (decanedioate) [P, nt-ms]",-0.0994542355355313,0.0416316029523968,1
"serine [P, nt-ms]",0.0884373771386714,0.0702067597371257,1
"serotonin [P, nt-ms]",-0.0415991317821681,0.395127255971784,1
"sphinganine-1-phosphate [P, nt-ms]",-0.00614105801077777,0.900143287453201,1
"sphingosine [P, nt-ms]",-0.00423796938958182,0.930994178187994,1
"sphingosine 1-phosphate [P, nt-ms]",-0.0128658043794041,0.792631048308193,1
"stachydrine [P, nt-ms]",-0.0862946570085883,0.0773052755981097,1
"stearoylcarnitine [P, nt-ms]",-0.0722995019987876,0.139081687056434,1
"suberoyl carnitine [P, nt-ms]",-0.141271127061581,0.00371818388627114,1
"succinate [P, nt-ms]",-0.117705354405128,0.0158023906827561,1
"sulfate [P, nt-ms]",0.0887104075025261,0.0693418087060569,1
"tartronate (hydroxymalonate) [P, nt-ms]",0.131734963961564,0.00686116183711145,1
"taurocholenate sulfate [P, nt-ms]",0.0810232499704664,0.0972647749814429,1
"taurolithocholate 3-sulfate [P, nt-ms]",0.103544746124392,0.0338867424438754,1
"tetradecanedioate [P, nt-ms]",-0.143263691763682,0.00325600682911543,1
"theophylline [P, nt-ms]",-0.0761822576312669,0.119023648725622,1
"threonate [P, nt-ms]",0.131155537929221,0.0071128583405563,1
"thymol sulfate [P, nt-ms]",-0.0921217075004854,0.0592519247513849,1
"thyroxine [P, nt-ms]",0.0752646735109552,0.123546972455097,1
"tigloylglycine [P, nt-ms]",-0.130760733136605,0.00728905658718339,1
"tiglylcarnitine [P, nt-ms]",-0.0240043485297838,0.623746653058101,1
"trans-4-hydroxyproline [P, nt-ms]",-0.0348253100749862,0.476591500136242,1
"trans-urocanate [P, nt-ms]",-0.10524912698648,0.0310423291576538,1
"trimethylamine N-oxide [P, nt-ms]",-0.0392570034307711,0.422298015309672,1
"tryptophan betaine [P, nt-ms]",-0.0339051601614894,0.488323713184416,1
"tyramine O-sulfate [P, nt-ms]",0.0900539951815462,0.0652115265278242,1
"urate [P, nt-ms]",0.141463494660015,0.00367110404332662,1
"urea [P, nt-ms]",0.113020053750296,0.0205175521236224,1
"uridine [P, nt-ms]",-0.0306434925114302,0.531131181571625,1
"xanthosine [P, nt-ms]",-0.118546397136744,0.0150649098882998,1
"arginine [P, t-ms]",0.091458650506516,0.0611118958097432,1
"C10 (decanoylcarnitine) [P, t-ms]",-0.145499426213994,0.00279997600967897,1
"C10:1 (decenoylcarnitine) [P, t-ms]",-0.139026620563695,0.00430935806216152,1
"C16 (hexadecanoylcarnitine) [P, t-ms]",-0.105663799475946,0.0303820181268589,1
"C16-OH (hydroxyhexadecanoylcarnitine) [P, t-ms]",0.00939903199560464,0.847700682459136,1
"C16:2-OH (hydroxyhexadecadienylcarnitine) [P, t-ms]",-0.0950394126966068,0.0516149719886527,1
"C18 (octadecanoylcarnitine) [P, t-ms]",-0.0980131180297804,0.0446942500299701,1
"C18:1 (octadecenoylcarnitine) [P, t-ms]",-0.113320718177435,0.0201818651990878,1
"C5 (valerylcarnitine) [P, t-ms]",0.070866694606689,0.147105921930058,1
"C5:1-DC (glutaconylcarnitine) [P, t-ms]",-0.142022151637054,0.00353742469154472,1
"C5:1( tiglylcarnitine) [P, t-ms]",-0.0424669802339221,0.385333012547738,1
"C6-OH (glutarylcarnitine) and C5-DC (hydroxyhexanoylcarnitine) [P, t-ms]",-0.0300258510095133,0.539445773063431,1
"C7-DC (pimelylcarnitine) [P, t-ms]",-0.104024370821562,0.0330646941336428,1
"glutamine [P, t-ms]",-0.116503314277282,0.0169112824885666,1
"glycine [P, t-ms]",0.047476516136274,0.331734193310867,1
"histidine [P, t-ms]",0.0855411395687362,0.0799359530643135,1
"leucine or isoleucine [P, t-ms]",0.125667037177647,0.00993855884570148,1
"lysoPC a C14:0 [P, t-ms]",-0.0883854243786609,0.0703723391435708,1
"lysoPC a C16:0 [P, t-ms]",-0.0706254903235317,0.148490763002475,1
"lysoPC a C16:1 [P, t-ms]",-0.0482594670064166,0.323813182063579,1
"lysoPC a C17:0 [P, t-ms]",-0.0743676399450886,0.128097149442989,1
"lysoPC a C18:0 [P, t-ms]",-0.0981823807984287,0.0443249930165975,1
"lysoPC a C18:2 [P, t-ms]",-0.0667939744213962,0.171839878766726,1
"lysoPC a C20:4 [P, t-ms]",-0.0141971694444325,0.771737526796286,1
"ornithine [P, t-ms]",0.125897417919495,0.0098023789530228,1
"PC aa C28:1 [P, t-ms]",-0.0334540718894324,0.494131417805016,1
"PC aa C32:1 [P, t-ms]",-0.120496788309175,0.0134698325680425,1
"PC aa C32:2 [P, t-ms]",-0.108019329728455,0.0268548893531201,1
"PC aa C32:3 [P, t-ms]",-0.0476298638482351,0.330173048018427,1
"PC aa C34:1 [P, t-ms]",-0.0391178070359726,0.423946440579347,1
"PC aa C34:2 [P, t-ms]",-0.0957286261992591,0.0499361337846042,1
"PC aa C34:3 [P, t-ms]",0.0308686564695713,0.52811625198978,1
"PC aa C34:4 [P, t-ms]",-0.0328960490481665,0.50136652578988,1
"PC aa C36:0 [P, t-ms]",-0.104199446209071,0.032768892335727,1
"PC aa C36:1 [P, t-ms]",-0.0377346307853677,0.440529247952298,1
"PC aa C36:2 [P, t-ms]",-0.035547657587169,0.46749021210626,1
"PC aa C36:3 [P, t-ms]",-0.0658452767164463,0.17802308230642,1
"PC aa C36:4 [P, t-ms]",-0.00565212175330716,0.908056958726305,1
"PC aa C36:5 [P, t-ms]",-0.0709355487969489,0.146712416084276,1
"PC aa C36:6 [P, t-ms]",-0.0699843547952801,0.152219973352776,1
"PC aa C38:0 [P, t-ms]",-0.100293249316665,0.039931490652039,1
"PC aa C38:3 [P, t-ms]",-0.141992104579371,0.00354450071572923,1
"PC aa C38:4 [P, t-ms]",0.0143164625864631,0.76987320394763,1
"PC aa C38:5 [P, t-ms]",-0.0127646371271875,0.794224987326333,1
"PC aa C38:6 [P, t-ms]",-0.0596767110198404,0.222293693789223,1
"PC aa C40:1 [P, t-ms]",-0.097781928914405,0.0452027777264278,1
"PC aa C40:2 [P, t-ms]",-0.0410810488678274,0.401044987577943,1
"PC aa C40:3 [P, t-ms]",-0.0970263317999494,0.0468988233267775,1
"PC aa C40:4 [P, t-ms]",-0.0617301902915837,0.20675941531779,1
"PC aa C40:5 [P, t-ms]",-0.0804450592720565,0.0996837098548099,1
"PC aa C40:6 [P, t-ms]",-0.069476181837758,0.155225927798307,1
"PC aa C42:0 [P, t-ms]",-0.143962160794732,0.0031067721948228,1
"PC aa C42:1 [P, t-ms]",-0.108346985612205,0.0263933269699459,1
"PC aa C42:2 [P, t-ms]",-0.0498068932732179,0.30852228698303,1
"PC aa C42:4 [P, t-ms]",-0.0519584575618148,0.288065138238077,1
"PC aa C42:5 [P, t-ms]",-0.0564713028330073,0.248176475760931,1
"PC aa C42:6 [P, t-ms]",-0.0704437914756376,0.149540496453678,1
"PC ae C30:0 [P, t-ms]",-0.123700660934378,0.0111709315785245,1
"PC ae C32:2 [P, t-ms]",-0.101761425460479,0.0370976567584215,1
"PC ae C34:1 [P, t-ms]",-0.129902746026542,0.00768548872063107,1
"PC ae C34:3 [P, t-ms]",-0.153001670646935,0.00166205132424295,1
"PC ae C36:1 [P, t-ms]",-0.0854247914499467,0.0803485337533425,1
"PC ae C36:2 [P, t-ms]",-0.135159130479732,0.00552995115602209,1
"PC ae C36:4 [P, t-ms]",-0.0463784238199122,0.343051847186831,1
"PC ae C36:5 [P, t-ms]",-0.0217070024965408,0.657340747399043,1
"PC ae C38:0 [P, t-ms]",-0.0419744161311904,0.390873655084739,1
"PC ae C38:3 [P, t-ms]",-0.149273689641918,0.00216012313648219,1
"PC ae C38:4 [P, t-ms]",-0.0207800971883054,0.671097724495119,1
"PC ae C38:5 [P, t-ms]",-0.0300949759900549,0.538512005343804,1
"PC ae C38:6 [P, t-ms]",-0.0799976622094285,0.101588068959634,1
"PC ae C40:1 [P, t-ms]",-0.0776084486543539,0.112251098542417,1
"PC ae C40:2 [P, t-ms]",-0.0992061946551898,0.0421457589472918,1
"PC ae C40:4 [P, t-ms]",-0.0703425967357458,0.15012757239904,1
"PC ae C40:5 [P, t-ms]",-0.0426474707378173,0.38331478424381,1
"PC ae C40:6 [P, t-ms]",-0.0962508441724884,0.0486946682761814,1
"PC ae C42:0 [P, t-ms]",-0.0644313130667742,0.187542689889495,1
"PC ae C42:1 [P, t-ms]",-0.0496899773526808,0.309660696771652,1
"PC ae C42:2 [P, t-ms]",-0.113426961936955,0.0200643928982139,1
"PC ae C42:3 [P, t-ms]",-0.1368297737581,0.00496891869239042,1
"PC ae C42:4 [P, t-ms]",-0.119195412318962,0.0145166330673334,1
"PC ae C42:5 [P, t-ms]",-0.0743655918040303,0.12810768514158,1
"PC ae C44:3 [P, t-ms]",-0.100081044646943,0.0403558428272452,1
"PC ae C44:4 [P, t-ms]",-0.120995627223758,0.0130865523727986,1
"PC ae C44:5 [P, t-ms]",-0.0998705315642113,0.0407805708224221,1
"PC ae C44:6 [P, t-ms]",-0.136672295327088,0.00501952296412897,1
"serine [P, t-ms]",0.0519583525598058,0.288066113824586,1
"SM (OH) C14:1 [P, t-ms]",-0.0556055384098384,0.255514001572113,1
"SM (OH) C16:1 [P, t-ms]",-0.0620619666003131,0.204325128481877,1
"SM (OH) C22:1 [P, t-ms]",-0.0385670483829338,0.430505433292365,1
"SM (OH) C22:2 [P, t-ms]",-0.0782435164475229,0.109334504482791,1
"SM (OH) C24:1 [P, t-ms]",-0.0522941099500245,0.284957894695498,1
"SM C16:0 [P, t-ms]",-0.096997864629517,0.0469637509242658,1
"SM C16:1 [P, t-ms]",-0.121010805315348,0.0130750425744446,1
"SM C18:0 [P, t-ms]",-0.0296179103447201,0.544972799380843,1
