"metabolite","super_pathway","sub_pathway","fluid","platform_name","platform_unit","retention_index","CAS","PubChem","ChEBI"
"5-acetylamino-6-formylamino-3-methyluracil","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1424","85438-96-6","108214","CHEBI:32643"
"5-dodecenoate (12:1n7)","Lipids","Medium Chain Fatty Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5224","2430-94-6","5312378","CHEBI:86595"
"5-hydroxyhexanoate","Lipids","Fatty Acid, Monohydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","1267","44843-89-2","170748","CHEBI:131434"
"5-hydroxyindoleacetate","Amino Acids","Tryptophan Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1893","54-16-0","1826","CHEBI:27823"
"5-hydroxylysine","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2790","13204-98-3","3032849","CHEBI:18040"
"5-methylthioadenosine (MTA)","Amino Acids","Polyamine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2752","2457-80-9","439176","CHEBI:17509"
"5-methyluridine (ribothymidine)","Nucleotides","Pyrimidine Metabolism, Uracil containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1778.1","1463-10-1","445408","CHEBI:45996"
"5-oxoproline","Amino Acids","Glutathione Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","738.5","98-79-3","","CHEBI:16010"
"5,6-dihydrothymine","Nucleotides","Pyrimidine Metabolism, Thymine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1637.8","696-04-8","","CHEBI:27468"
"5,6-dihydrouracil","Nucleotides","Pyrimidine Metabolism, Uracil containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1120","504-07-4","649","CHEBI:15901"
"5alpha-androstan-3alpha, 17beta-diol-17-glucosiduronate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4930",NA,"","CHEBI:133517"
"5alpha-androstan-3alpha,17alpha-diol disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4547",NA,"118437353",""
"5alpha-androstan-3alpha,17alpha-diol monosulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5208",NA,"","CHEBI:133099"
"5alpha-androstan-3alpha,17beta-diol disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4275",NA,"56639109","CHEBI:133101"
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4925",NA,"","CHEBI:133103, CHEBI:133109"
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5080",NA,"","CHEBI:133109, CHEBI:133103"
"5alpha-androstan-3beta,17alpha-diol disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4215",NA,"90186425","CHEBI:133112"
"5alpha-androstan-3beta,17beta-diol disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","3880","571-20-0","","CHEBI:133115"
"5alpha-androstan-3beta,17beta-diol monosulfate (2)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4685",NA,"","CHEBI:133711"
"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4310",NA,"","CHEBI:133464"
"5alpha-pregnan-3beta,20alpha-diol disulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","3962",NA,"5748360","CHEBI:133119"
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5060",NA,"","CHEBI:133713"
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5180",NA,"","CHEBI:133712"
"6-hydroxyindole sulfate","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","2498",NA,"122198196","CHEBI:133568"
"6-oxopiperidine-2-carboxylic acid","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","964.5","34622-39-4","3014237","CHEBI:87998"
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","Lipids","Sterol","plasma","Metabolon HD4 [nt-ms]","normalized counts","5288.1","115538-85-7","3081085","CHEBI:83036"
"7-hydroxyindole sulfate","Amino Acids","Tryptophan Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1765",NA,"156960911",""
"7-methylguanine","Nucleotides","Purine Metabolism, Guanine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","2175","578-76-7","","CHEBI:2274"
"7-methylxanthine","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1350","552-62-5","68374","CHEBI:48991"
"9,10-DiHOME","Lipids","Fatty Acid, Dihydroxy","plasma","Metabolon HD4 [nt-ms]","normalized counts","5180","263399-34-4","","CHEBI:72663"
"acetoacetate","Lipids","Ketone Bodies","plasma","Metabolon HD4 [nt-ms]","normalized counts","1062","578486","96","CHEBI:15344"
"acetylcarnitine","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","2282","5080-50-2","1","CHEBI:73024"
"acisoga","Amino Acids","Polyamine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1813","106692-36-8","129397","CHEBI:133185"
"adenine","Nucleotides","Purine Metabolism, Adenine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","2221","73-24-5","190","CHEBI:16708"
"adenosine","Nucleotides","Purine Metabolism, Adenine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","2169","58-61-7","60961","CHEBI:16335"
"adenosine 3',5'-cyclic monophosphate (cAMP)","Nucleotides","Purine Metabolism, Adenine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1952.2","60-92-4","6076","CHEBI:17489"
"adenosine 5'-diphosphate (ADP)","Nucleotides","Purine Metabolism, Adenine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","607","20398-34-9","6022","CHEBI:16761"
"adenosine 5'-monophosphate (AMP)","Nucleotides","Purine Metabolism, Adenine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1013","149022-20-8","6083","CHEBI:16027"
"adipoylcarnitine","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","2558",NA,"71296139","CHEBI:68568"
"alanine","Amino Acids","Alanine and Aspartate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1700","56-41-7","602","CHEBI:16449"
"allantoin","Nucleotides","Purine Metabolism, (Hypo)Xanthine/Inosine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","685","97-59-6","204","CHEBI:15676"
"alliin","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1470","556-27-4","","CHEBI:2596"
"alpha-CEHC sulfate","Cofactors and Vitamins","Tocopherol Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3090",NA,"149551853","CHEBI:88427"
"alpha-hydroxyisocaproate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1840","10303-64-7","92779","CHEBI:59783"
"alpha-hydroxyisovalerate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1126","600-37-3","99823","CHEBI:60645"
"alpha-ketobutyrate","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","949.2","600-18-0","58","CHEBI:30831"
"alpha-ketoglutarate","Energy","TCA Cycle","plasma","Metabolon HD4 [nt-ms]","normalized counts","2700","305-72-6;328-50-7;22202-68-2","51","CHEBI:30915"
"alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2522","59-02-9;10191-41-0","","CHEBI:22470"
"andro steroid monosulfate (1)*","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","3871",NA,"","CHEBI:131647"
"androsterone sulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5022","2479-86-9","159663","CHEBI:83037"
"anthranilate","Amino Acids","Tryptophan Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2606","118-92-3","227","CHEBI:30754"
"arabinose","Carbohydrates","Pentose Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1804.5","28697-53-2","","CHEBI:22599"
"arabitol/xylitol","Carbohydrates","Pentose Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1932.4",NA,"6912","CHEBI:17151, CHEBI:22605"
"arabonate/xylonate","Carbohydrates","Pentose Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2664.6",NA,"","CHEBI:33509, CHEBI:33828"
"arginine","Amino Acids","Urea cycle; Arginine and Proline Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2825","1119-34-2","232","CHEBI:29016"
"argininosuccinate","Amino Acids","Urea cycle; Arginine and Proline Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2745","156637-58-0","16950","CHEBI:184023"
"asparagine","Amino Acids","Alanine and Aspartate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1225","70-47-3","","CHEBI:22653"
"aspartate","Amino Acids","Alanine and Aspartate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1165","56-84-8","","CHEBI:22660"
"azelate (nonanedioate)","Lipids","Fatty Acid, Dicarboxylate","plasma","Metabolon HD4 [nt-ms]","normalized counts","2520","123-99-9","2266","CHEBI:48131"
"benzoate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1750","65-85-0","243","CHEBI:30746"
"benzoylcarnitine*","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","3041","105450-08-6","129023",""
"beta-alanine","Nucleotides","Pyrimidine Metabolism, Uracil containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1939","56-41-7;107-95-9","239","CHEBI:16958"
"beta-hydroxyisovalerate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1027","625-08-1","69362","CHEBI:37084"
"betaine","Amino Acids","Glycine, Serine and Threonine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1064","107-43-7","","CHEBI:17750"
"betonicine","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1012","515-25-3","164642","CHEBI:85533"
"bilirubin (E,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","4294","114-25-0","5315454","CHEBI:132996"
"bilirubin (E,Z or Z,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1270",NA,"21252250","CHEBI:72719"
"bilirubin (Z,Z)","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1840","635-65-4","5280352","CHEBI:16990"
"biliverdin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1016","55482-27-4;55482-27-4","5353439","CHEBI:17033"
"bradykinin","Peptides","Polypeptide","plasma","Metabolon HD4 [nt-ms]","normalized counts","792","58-82-2","439201","CHEBI:3165"
"bradykinin, des-arg(9)","Peptides","Polypeptide","plasma","Metabolon HD4 [nt-ms]","normalized counts","4250","15958-92-6","","CHEBI:133068"
"bradykinin, hydroxy-pro(3)","Peptides","Polypeptide","plasma","Metabolon HD4 [nt-ms]","normalized counts","776","37642-65-2","169947","CHEBI:133051"
"butyrylcarnitine","Lipids","Fatty Acid Metabolism (also BCAA Metabolism)","plasma","Metabolon HD4 [nt-ms]","normalized counts","2860","25576-40-3","","CHEBI:7676"
"C-glycosyltryptophan","Amino Acids","Tryptophan Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2685","180509-18-6","","CHEBI:165856"
"cadaverine","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3036","462-94-2;1476-39-7","273","CHEBI:18127"
"caffeine","Xenobiotics","Xanthine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2106","58-08-2","2519","CHEBI:27732"
"campesterol","Lipids","Sterol","plasma","Metabolon HD4 [nt-ms]","normalized counts","2873","474-62-4","173183","CHEBI:28623"
"caprate (10:0)","Lipids","Medium Chain Fatty Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5090.7","112-37-8","2969","CHEBI:30813"
"caproate (6:0)","Lipids","Medium Chain Fatty Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2713.7","142-62-1","8892","CHEBI:30776"
"caprylate (8:0)","Lipids","Medium Chain Fatty Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4362","124-07-2","379","CHEBI:28837"
"carboxyibuprofen","Xenobiotics","Drug","plasma","Metabolon HD4 [nt-ms]","normalized counts","1920","15935-54-3","10444113","CHEBI:133199"
"carnitine","Lipids","Carnitine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1978","461-05-2","288","CHEBI:17126"
"carnosine","Peptides","Dipeptide Derivative","plasma","Metabolon HD4 [nt-ms]","normalized counts","2942","305-84-0","439224","CHEBI:15727"
"catechol sulfate","Xenobiotics","Benzoate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1906","4918-96-1","3083879","CHEBI:68505"
"chenodeoxycholate","Lipids","Primary Bile Acid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","5264","474-24-9;474-25-9","10133","CHEBI:16755"
"cholate","Lipids","Primary Bile Acid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","5165","81-25-4","221493","CHEBI:16359"
"cholesterol","Lipids","Sterol","plasma","Metabolon HD4 [nt-ms]","normalized counts","2707","57-88-5","5997","CHEBI:16113"
"choline","Lipids","Phospholipid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1961","67-48-1","305","CHEBI:15354"
"choline phosphate","Lipids","Phospholipid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","700","72556-74-2","1014","CHEBI:18132"
"cinnamoylglycine","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","3127","16534-24-0","709625","CHEBI:68616"
"cis-4-decenoyl carnitine","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","1057","98930-66-6","71464497","CHEBI:73048"
"cis-aconitate","Energy","TCA Cycle","plasma","Metabolon HD4 [nt-ms]","normalized counts","864","585-84-2","643757","CHEBI:32805"
"citrate","Energy","TCA Cycle","plasma","Metabolon HD4 [nt-ms]","normalized counts","582","77-92-9","311","CHEBI:30769"
"citrulline","Amino Acids","Urea cycle; Arginine and Proline Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1520","372-75-8","833","CHEBI:18211"
"corticosterone","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5040","50-22-6","5753","CHEBI:16827"
"cortisol","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4713.2","50-23-7","5754","CHEBI:17650"
"cortisone","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4572.5","53-06-5","222786","CHEBI:16962"
"cotinine","Xenobiotics","Tobacco Metabolite","plasma","Metabolon HD4 [nt-ms]","normalized counts","2213","486-56-6","","CHEBI:68641"
"cotinine N-oxide","Xenobiotics","Tobacco Metabolite","plasma","Metabolon HD4 [nt-ms]","normalized counts","1377","36508-80-2","9815514","CHEBI:89087"
"creatine","Amino Acids","Creatine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1947","57-00-1","586","CHEBI:16919"
"creatinine","Amino Acids","Creatine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2055","60-27-5","588","CHEBI:16737"
"cys-gly, oxidized","Amino Acids","Glutathione Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2947","7729-20-6","","CHEBI:133040"
"cystathionine","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2270","535-34-2","834","CHEBI:17755"
"cysteine","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1488","52-90-4;56-89-3","594","CHEBI:15356"
"cysteine s-sulfate","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2273","1637-71-4","","CHEBI:181721"
"cysteine sulfinic acid","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","597","207121-48-0","1549098","CHEBI:16345"
"cysteine-glutathione disulfide","Amino Acids","Glutathione Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2465","13081-14-6","53477713","CHEBI:143243"
"cysteinylglycine","Amino Acids","Glutathione Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2132","19246-18-5","439498","CHEBI:4047"
"cystine","Amino Acids","Methionine, Cysteine, SAM and Taurine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2000","56-89-3","595","CHEBI:17376"
"cytidine","Nucleotides","Pyrimidine Metabolism, Cytidine containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1325","65-46-3","6175","CHEBI:17562"
"decanoylcarnitine","Lipids","Fatty Acid Metabolism (Acyl Carnitine)","plasma","Metabolon HD4 [nt-ms]","normalized counts","1130","1492-27-9","","CHEBI:68830"
"dehydroisoandrosterone sulfate (DHEA-S)","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4745","651-48-9","12594","CHEBI:16814"
"deoxycarnitine","Lipids","Carnitine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2052","6249-56-5","725","CHEBI:16244"
"deoxycholate","Lipids","Secondary Bile Acid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","5294","83-44-3","222528","CHEBI:28834"
"dihydroferulic acid","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1928","1135-23-5","14340","CHEBI:86612"
"dihydroorotate","Nucleotides","Pyrimidine Metabolism, Orotate containing","plasma","Metabolon HD4 [nt-ms]","normalized counts","1910.1","155-54-4","648","CHEBI:30865"
"dimethyl sulfone","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","832","67-71-0","6213","CHEBI:9349"
"dimethylarginine (SDMA + ADMA)","Amino Acids","Urea cycle; Arginine and Proline Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2850","102783-24-4","","CHEBI:86468"
"dimethylglycine","Amino Acids","Glycine, Serine and Threonine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1104","1118-68-9","673","CHEBI:17724"
"dodecanedioate","Lipids","Fatty Acid, Dicarboxylate","plasma","Metabolon HD4 [nt-ms]","normalized counts","2990","693-23-2","12736","CHEBI:4676"
"dopamine sulfate (2)","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1556.2",NA,"122136","CHEBI:37946"
"DSGEGDFXAEGGGVR*","Peptides","Fibrinogen Cleavage Peptide","plasma","Metabolon HD4 [nt-ms]","normalized counts","2535",NA,"","CHEBI:132999"
"EDTA","Xenobiotics","Chemical","plasma","Metabolon HD4 [nt-ms]","normalized counts","643","60-00-4","6049","CHEBI:4735"
"epiandrosterone sulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4855","22229-22-7","9929317","CHEBI:83040"
"equol glucuronide","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","3215",NA,"29979359, 122400995","CHEBI:188397, CHEBI:176354"
"equol sulfate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","3630",NA,"","CHEBI:176362"
"ergothioneine","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","850","58511-63-0","5351619","CHEBI:4828"
"erythritol","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1491","149-32-6","222285","CHEBI:17113"
"erythronate*","Carbohydrates","Aminosugar Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2186","88759-55-1","","CHEBI:37654"
"estrone 3-sulfate","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4417.3","438-67-5","3001028","CHEBI:17474"
"ethylmalonate","Amino Acids","Leucine, Isoleucine and Valine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2785","601-75-2","11756","CHEBI:741548"
"etiocholanolone glucuronide","Lipids","Steroid","plasma","Metabolon HD4 [nt-ms]","normalized counts","4915","621890","443078","CHEBI:37451"
"eugenol sulfate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","3782","95480-60-7","","CHEBI:133570"
"ferulic acid 4-sulfate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","1225","86321-29-1","6305574","CHEBI:133508"
"flavin adenine dinucleotide (FAD)","Cofactors and Vitamins","Riboflavin Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2425","146-14-5;84366-81-4","643975","CHEBI:16238"
"fructose","Carbohydrates","Fructose, Mannose and Galactose Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2022.2","57-48-7","","CHEBI:28757"
"fumarate","Energy","TCA Cycle","plasma","Metabolon HD4 [nt-ms]","normalized counts","3084","100-17-8","444972","CHEBI:18012"
"gamma-carboxyglutamate","Amino Acids","Glutamate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","903","56271-99-9","","CHEBI:41450"
"gamma-CEHC","Cofactors and Vitamins","Tocopherol Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","3843","178167-75-4","15887183","CHEBI:89379"
"gamma-CEHC glucuronide*","Cofactors and Vitamins","Tocopherol Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2500",NA,"121596235","CHEBI:133148"
"gamma-glutamyl-2-aminobutyrate","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2380",NA,"","CHEBI:176875"
"gamma-glutamyl-epsilon-lysine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2717","17105-15-6","7015684","CHEBI:88494"
"gamma-glutamylalanine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1986","5875-41-2","440103","CHEBI:50619"
"gamma-glutamylglutamate","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1775","1116-22-9","92865","CHEBI:73705, CHEBI:71683"
"gamma-glutamylglutamine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1430","10148-81-9","150914","CHEBI:73707"
"gamma-glutamylglycine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1535","1948-29-4","165527","CHEBI:73843, CHEBI:73845"
"gamma-glutamylhistidine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2740","37460-15-4","7017195","CHEBI:133032"
"gamma-glutamylisoleucine*","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2940",NA,"22885096","CHEBI:68434"
"gamma-glutamylleucine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2991","2566-39-4","151023","CHEBI:68433"
"gamma-glutamylmethionine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","2640","17663-87-5","7009567","CHEBI:82965"
"gamma-glutamylphenylalanine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1825","7432-24-8","111299","CHEBI:89582"
"gamma-glutamylthreonine*","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1750","5652-48-2","53861142","CHEBI:133747"
"gamma-glutamyltryptophan","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1960","66471-20-3","3038501","CHEBI:133028"
"gamma-glutamyltyrosine","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1240","7432-23-7","94340","CHEBI:82969"
"gamma-glutamylvaline","Peptides","Gamma-glutamyl Amino Acid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1072","2746-34-1","7015683","CHEBI:68848"
"gamma-tocopherol/beta-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2384",NA,"92729, 6857447","CHEBI:18185, CHEBI:47771"
"gentisate","Amino Acids","Phenylalanine and Tyrosine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","905","490-79-9","3469","CHEBI:17189"
"gluconate","Xenobiotics","Food Component/Plant","plasma","Metabolon HD4 [nt-ms]","normalized counts","2922","527-07-1","","CHEBI:24266"
"glucose","Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2342","50-99-7","","CHEBI:17234"
"glucuronate","Carbohydrates","Aminosugar Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","639","207300-70-7","","CHEBI:24298"
"glutamate","Amino Acids","Glutamate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1500","56-86-0","611","CHEBI:18237"
"glutamine","Amino Acids","Glutamate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","1291","56-85-9","","CHEBI:28300"
"glutarate (pentanedioate)","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2900","110-94-1","743","CHEBI:17859"
"glutarylcarnitine (C5)","Amino Acids","Lysine Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2393","102636-82-8","71464488","CHEBI:73040"
"glutathione, oxidized (GSSG)","Amino Acids","Glutathione Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2667","103239-24-3","65359","CHEBI:17858"
"glutathione, reduced (GSH)","Amino Acids","Glutathione Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2000","70-18-8","124886","CHEBI:16856"
"glycerate","Carbohydrates","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","2070.4","600-19-1","","CHEBI:33508"
"glycerol","Lipids","Glycerolipid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","758","56-81-5","753","CHEBI:17754"
"glycerol 3-phosphate","Lipids","Glycerolipid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","580","29849-82-9","754","CHEBI:14336"
"glycerophosphoethanolamine","Lipids","Phospholipid Metabolism","plasma","Metabolon HD4 [nt-ms]","normalized counts","659","33049-08-0","123874","CHEBI:52330"
